,momentum_long_short,momentum_long_only,low_volatility_long_short,low_volatility_long_only,reversal_long_short,reversal_long_only,multi_factor_long_short,multi_factor_long_only
2015-02-28,,,,,0.21412792170177766,0.12073218439493794,,
2015-03-31,,,,,0.21981137656739094,0.1280146772531565,,
2015-04-30,,,,,0.15686355840190547,0.08377009375020006,,
2015-05-31,,,,,0.18426930260451024,0.12352798190065098,,
2015-06-30,,,,,0.22956390344910432,0.12585913487623016,,
2015-07-31,,,,,0.2075157176263175,0.07427667486909542,,
2015-08-31,,,,,0.19114506767257172,0.1485050409322226,,
2015-09-30,,,,,0.2648613973955419,0.1672245239961184,,
2015-10-31,,,,,0.2716899650785485,0.16281901526556397,,
2015-11-30,,,,,0.20086185101106993,0.14137073352698254,,
2015-12-31,,,,,0.201792928894633,0.10796943550406483,,
2016-01-31,0.07214234613572798,0.009535016956948065,-0.05054646025514087,-0.042528071381634086,0.19900169105069213,0.0699287629666951,0.15290341626890466,0.0580177908085672
2016-02-29,-0.034233593212562925,-0.03963374295362692,-0.07246186370764678,-0.06640176206411873,0.2152400287509324,0.08197504031579787,0.10254603478689009,0.05911744292739272
2016-03-31,-0.08592399747846295,-0.007306896794016599,0.11108230316065594,0.09622613751272013,0.2543671612062632,0.16247650528360053,0.16211497989692583,0.11218714719370011
2016-04-30,0.16200240442681632,0.084220873404596,0.06438829961759043,0.04079485390074823,0.2672455904539687,0.16593426941891776,0.18986328248011927,0.1292094838946956
2016-05-31,-0.01569541308273307,0.025966709312927067,-0.03164299976896369,0.004877637416506949,0.1843211944143939,0.10513735004494952,0.09037332717906826,0.0924321541979734
2016-06-30,0.007133883562585282,-0.0095699431492753,-0.011699212936525108,-0.014121385452662444,0.25977428678530184,0.14638621000324173,0.160984671290109,0.10364394569628484
2016-07-31,-0.0027618069495280416,0.013421153475958441,-0.004959797059455372,-0.029273415456577762,0.2320240034892057,0.14976339805893973,0.1594913894219726,0.09164602437783678
2016-08-31,-0.08560146688689034,-0.0637772219873438,-0.007630781500370718,-0.02415402292710337,0.2143191247038436,0.09804848528194897,0.0738590669152572,0.059857520183769705
2016-09-30,0.02075721649558654,0.03364714032141764,-0.022389937748741567,-0.005538335606433131,0.2143015152731109,0.11740409577214107,0.12435420313169313,0.05518341277756178
2016-10-31,-0.078711818388539,-0.050694740544431696,-0.05734873468358629,-0.03060178184804113,0.17961955967179366,0.07915161459140677,0.02066780262366753,-0.001956116549605191
2016-11-30,-0.024270401334544126,-0.0034950478537391465,-0.009552878128328723,0.004494766700384307,0.22016907230289823,0.12998972496116726,0.07192742505103418,0.06538738861146191
2016-12-31,0.07891322900394722,0.05296510583356578,0.03646334812470508,0.007242063399537219,0.25352531146199336,0.1547291165088238,0.1404053024551109,0.117357828523522
2017-01-31,0.008274313389191056,0.009357230550094601,0.0030149977865608648,0.02184487354317393,0.22794036155030753,0.1318783028079724,0.1278221832043505,0.08547078706411966
2017-02-28,-0.04097301828093916,0.04157785878956483,0.10706474743834411,0.12289349428173271,0.2659065503590371,0.1907087340949777,0.1571879044468572,0.11816947609550953
2017-03-31,0.003838407000959941,0.04313104000135516,0.07422535403068137,0.06751455809672839,0.19805885111786098,0.1598592143112299,0.1150510846234782,0.11964885317529615
2017-04-30,-0.04651666058330791,-0.003293496061428002,-0.02116627675495576,-0.026224979060821253,0.1733343760267677,0.0851664241216578,0.057284035467806735,0.05862404032333324
2017-05-31,-0.037010010675428806,-0.014863233195159321,0.02494827801858755,-0.0064510942325656795,0.26184207628541406,0.14119361059167354,0.06465900883266489,0.01610613693243146
2017-06-30,0.08954918703379308,0.093477169018953,0.04681247479597943,0.07412991792754961,0.3117416343491383,0.18983147653759463,0.2072508873439917,0.16443989992871175
2017-07-31,0.000903397823710493,0.007197782385273893,-0.027208914390425897,-0.033553150760590324,0.2505529624345149,0.12183585922540095,0.11463139690826699,0.07788553685986495
2017-08-31,-0.03053295940629863,-0.011963329420655085,0.04883077775657404,0.062061804287497024,0.19426754177771316,0.1303794653004647,0.07547621852456292,0.056348775398703546
2017-09-30,0.0037946453234638153,-0.007931800340213329,-0.06527014803336982,-0.05537664052811354,0.26267057200705207,0.12005253033573826,0.09985234861306291,0.06187251144434859
2017-10-31,0.09995674387948489,0.004039923565153202,-0.004576296207523742,-0.03596222618447607,0.23620454233080193,0.10040500612576317,0.1396286587480757,0.03706319301508805
2017-11-30,-0.06533495636545682,0.021032719302592307,0.03955989911274287,0.034188602230995624,0.22212700805094873,0.13919482011316464,0.07579451656823348,0.07331856307485163
2017-12-31,0.0422516754051546,0.03481964373508506,0.013376695911646386,0.04569671860628803,0.2614248328586841,0.17221639530615243,0.20244872716363776,0.15963091134246435
2018-01-31,-0.0848078261541689,-0.000850213546752575,0.1040702503450119,0.09856513079337534,0.2577168031742292,0.18250904930401815,0.15161057201144712,0.13454386672807192
2018-02-28,-0.07749294688300114,0.02769133757010435,0.2048842144687411,0.21080095575721094,0.3139835799279593,0.22144996470813386,0.14327898827184088,0.13193196206340668
2018-03-31,0.02534680986696614,0.04598168236246131,0.02445753654133183,0.05988000774221897,0.27577380883877833,0.19248254497106318,0.19931036240315828,0.123471350499045
2018-04-30,-0.03676462846395823,0.009247136698904887,0.09284085330402578,0.10015300454501896,0.21227738342892416,0.1704214572273536,0.12832352971833566,0.10528587357766912
