,Annual Return,Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Total Return,Alpha,Beta
momentum,0.17216659232170217,0.20184019119063545,0.7538963940932002,0.7384762977199677,-0.3431342447125221,0.5017470420824461,0.33163611676849963,5.404986676026083,0.05145780502046794,0.8925281908589277
low_vol,0.21688258201565125,0.2552573567482466,0.7713101182420814,0.81427403174542,-0.4710732602323844,0.4604009616437606,0.3289205702647658,8.921963003357419,0.06231568399313164,1.1428782317003003
composite,0.028618075925434194,0.17986368009945583,0.04791448679727235,0.02724695130760673,-0.6616265509678455,0.0432541225613919,0.08961303462321792,0.3907749866902248,-0.009536848857181014,0.28204499091751306
SPY,0.13531451120338667,0.17444035440957545,0.6610540983689768,0.8032463017282481,-0.3371538582077859,0.4013435050771187,0.5507640067911714,3.4067232706076602,,
