,Min Variance,Max Sharpe
AAPL,0.08319690620827097,0.09306533119734556
MSFT,0.04433609738720798,0.0
META,0.0,0.11776039073043566
NVDA,0.02210576483333717,0.14766654652318967
GOOGL,0.01716415340302313,4.052222560323518e-16
JPM,0.07072555434143483,0.1684381033954504
AMZN,0.0,1.8655167459953352e-16
V,0.11993715503516374,0.0
WMT,0.17303668831639915,0.39999999999999997
TSLA,3.1119990482122994e-18,0.0
JNJ,0.23031945611170254,1.0647656789790098e-16
PG,0.2391782243634606,0.07306962815357826
