Date,AAPL,MSFT,META,NVDA,GOOGL,JPM,AMZN,V,WMT,TSLA,JNJ,PG
2023-01-03,123.33065032958984,234.42359924316406,124.05941009521484,14.301480293273926,88.5095443725586,126.10230255126953,85.81999969482422,203.15676879882812,46.24146270751953,108.0999984741211,163.6885986328125,141.4970703125
2023-01-04,124.60271453857422,224.16915893554688,126.675048828125,14.73507022857666,87.4766616821289,127.27825164794922,85.13999938964844,208.27023315429688,46.29297637939453,113.63999938964844,165.4707489013672,142.1132049560547
2023-01-05,123.28133392333984,217.52528381347656,126.24739837646484,14.25152587890625,85.60953521728516,127.25003051757812,83.12000274658203,206.8008575439453,46.135196685791016,110.33999633789062,164.2489776611328,140.34881591796875
2023-01-06,127.81736755371094,220.08888244628906,129.31060791015625,14.844966888427734,86.74172973632812,129.68504333496094,86.08000183105469,213.30531311035156,47.265464782714844,113.05999755859375,165.5809783935547,143.6908721923828
2023-01-09,128.33998107910156,222.2317352294922,128.7635955810547,15.613241195678711,87.41707611083984,129.14915466308594,87.36000061035156,214.13796997070312,46.67617416381836,119.7699966430664,161.29104614257812,141.93582153320312
2023-01-10,128.91192626953125,223.92453002929688,132.26438903808594,15.893975257873535,87.8143310546875,130.30555725097656,89.87000274658203,216.57711791992188,46.64719772338867,118.8499984741211,160.9051971435547,141.7957763671875
2023-01-11,131.633544921875,230.6956024169922,132.16493225097656,15.985885620117188,90.89310455322266,131.27389526367188,95.08999633789062,217.56654357910156,47.056156158447266,123.22000122070312,160.6479949951172,140.64755249023438
2023-01-12,131.55467224121094,233.37660217285156,135.96409606933594,16.495403289794922,90.5057601928711,131.14230346679688,95.2699966430664,219.05551147460938,46.6310920715332,123.55999755859375,159.83961486816406,139.85403442382812
2023-01-13,132.88587951660156,234.08111572265625,136.2326202392578,16.883039474487305,91.48899841308594,134.4516143798828,98.12000274658203,218.50692749023438,46.785667419433594,122.4000015258789,159.3159942626953,140.85293579101562
2023-01-17,134.04949951171875,235.177001953125,134.62147521972656,17.68528175354004,90.6646728515625,132.37391662597656,96.05000305175781,218.44818115234375,46.502288818359375,131.49000549316406,158.3330841064453,140.44215393066406
2023-01-18,133.32965087890625,230.73471069335938,132.29425048828125,17.3605899810791,90.495849609375,128.39703369140625,95.45999908447266,214.9804229736328,45.352699279785156,128.77999877929688,155.94467163085938,136.67999267578125
2023-01-19,133.3887939453125,226.93820190429688,135.4071502685547,16.749170303344727,92.41261291503906,126.68594360351562,93.68000030517578,215.91102600097656,44.705440521240234,127.16999816894531,155.73338317871094,133.7894287109375
2023-01-20,135.95265197753906,235.04977416992188,138.60958862304688,17.82215118408203,97.34857940673828,126.99620056152344,97.25,219.7313995361328,45.2560920715332,133.4199981689453,155.0076904296875,134.3061065673828
2023-01-23,139.14759826660156,237.3590087890625,142.48829650878906,19.174875259399414,99.10646057128906,129.0551300048828,97.5199966430664,219.6040802001953,45.932315826416016,143.75,154.61268615722656,132.50245666503906
2023-01-24,140.54783630371094,236.8306427001953,142.3590087890625,19.24680519104004,97.03076171875,130.16452026367188,96.31999969482422,219.3199920654297,46.0546875,143.88999938964844,154.61268615722656,133.22579956054688
2023-01-25,139.88714599609375,235.431396484375,140.72796630859375,19.30475425720215,94.56776428222656,130.79443359375,97.18000030517578,220.30935668945312,45.83571243286133,144.42999267578125,155.71499633789062,133.13186645507812
2023-01-26,141.95794677734375,242.66238403320312,146.49632263183594,19.78329849243164,96.85200500488281,131.60296630859375,99.22000122070312,220.12327575683594,45.79384994506836,160.27000427246094,155.14544677734375,132.59640502929688
2023-01-27,143.90054321289062,242.8189239501953,150.91207885742188,20.345766067504883,98.68933868408203,131.92262268066406,102.23999786376953,226.7158966064453,46.14484786987305,177.89999389648438,154.53916931152344,132.0515594482422
2023-01-30,141.0113067626953,237.48619079589844,146.2576141357422,19.143901824951172,96.2759780883789,130.80381774902344,100.55000305175781,224.42369079589844,45.77452850341797,166.66000366210938,148.81619262695312,132.4648895263672
2023-01-31,142.2833709716797,242.47647094726562,148.15719604492188,19.5185489654541,98.16295623779297,131.5841522216797,103.12999725341797,225.51100158691406,46.328399658203125,173.22000122070312,150.12062072753906,133.7518768310547
2023-02-01,143.407470703125,247.3101043701172,152.28456115722656,20.923221588134766,99.74207305908203,131.23629760742188,105.1500015258789,226.18687438964844,46.58600997924805,181.41000366210938,151.49853515625,134.51278686523438
2023-02-02,148.72251892089844,258.90509033203125,187.74005126953125,21.688495635986328,107.00199127197266,130.6251983642578,112.91000366210938,224.87425231933594,46.24789810180664,188.27000427246094,152.06808471679688,133.55459594726562
2023-02-03,152.3513641357422,252.78964233398438,185.5122528076172,21.08007049560547,104.06227111816406,132.64654541015625,103.38999938964844,225.43263244628906,45.632850646972656,189.97999572753906,151.21377563476562,133.96792602539062
2023-02-06,149.619873046875,251.24359130859375,185.0448455810547,21.06908416748047,102.19514465332031,133.4268798828125,102.18000030517578,224.7567138671875,45.30116653442383,194.75999450683594,150.0655059814453,132.83123779296875
